customer_id,age,tenure_months,monthly_spend,num_support_tickets,region,plan_type,payment_method,churned
C0055,55,63,69.14,1,South,Standard,credit_card,0
C0056,27,18,68.01,2,East,Standard,credit_card,0
C0057,48,8,83.66,6,West,Standard,paypal,1
C0058,41,50,135.99,8,East,Enterprise,bank_transfer,0
C0059,,44,140.83,7,East,Enterprise,paypal,1
C0060,58,85,34.18,6,East,Basic,bank_transfer,0
C0061,35,59,95.78,6,South,Premium,bank_transfer,0
C0062,56,,92.83,1,West,Premium,credit_card,0
C0063,31,31,74.31,1,East,Standard,bank_transfer,0
C0064,,96,52.22,2,South,Basic,credit_card,0
C0065,65,49,146.48,3,West,Enterprise,paypal,0
C0066,65,77,52.7,9,West,Basic,bank_transfer,1
C0067,54,83,87.33,6,Midwest,Premium,credit_card,1
C0068,51,91,73.32,8,South,Standard,paypal,1
C0069,68,76,95.38,3,West,Premium,bank_transfer,0
C0070,61,86,130.75,7,South,Enterprise,credit_card,1
C0071,43,36,101.45,8,East,Premium,credit_card,0
C0072,37,89,138.79,7,Midwest,Enterprise,credit_card,0
C0073,37,40,99.3,8,South,Premium,bank_transfer,1
C0074,39,40,92.99,3,South,Premium,credit_card,0
C0075,34,28,129.19,9,South,Enterprise,credit_card,0
C0076,41,2,69.13,0,South,Standard,paypal,0
C0077,28,2,99.2,7,South,Premium,credit_card,1
C0078,29,9,134.79,9,West,Enterprise,credit_card,1
C0079,27,32,46.51,6,East,Basic,paypal,1
C0080,59,55,101.78,0,West,Premium,credit_card,0
C0081,37,23,36.07,6,Midwest,Basic,paypal,1
C0082,40,91,105.28,7,West,Premium,paypal,0
C0083,62,76,73.05,8,East,Standard,paypal,0
C0084,26,8,82.61,9,South,Standard,bank_transfer,1
C0085,47,,133.38,9,West,Enterprise,bank_transfer,0
C0086,36,87,57.99,10,South,Basic,paypal,0
C0087,55,84,145.82,2,Midwest,Enterprise,paypal,0
C0088,48,43,104.42,2,South,Premium,bank_transfer,0
C0089,57,5,124.29,4,South,Enterprise,credit_card,1
C0090,22,85,132.74,3,South,Enterprise,paypal,0
C0091,35,35,86.12,7,Midwest,Standard,credit_card,0
C0092,37,91,70.08,0,Midwest,Standard,credit_card,0
C0093,51,16,74.96,4,South,Standard,bank_transfer,0
C0094,57,19,126.96,9,East,Enterprise,credit_card,1
C0095,43,65,108.33,4,South,Premium,paypal,0
C0096,31,58,130.97,8,Midwest,Enterprise,bank_transfer,0
C0097,37,74,128.07,6,West,Enterprise,bank_transfer,1
C0098,46,85,74.88,0,East,Standard,paypal,0
C0099,50,13,122.4,2,Midwest,Enterprise,paypal,0
C0100,38,44,138.9,5,Midwest,Enterprise,bank_transfer,1
C0101,26,31,112.93,1,Midwest,Premium,credit_card,0
C0102,23,6,107.7,4,South,Premium,bank_transfer,1
C0103,58,88,66.42,1,Midwest,Standard,paypal,0
C0104,36,60,98.95,10,West,Premium,bank_transfer,0
C0105,50,45,103.61,6,South,Premium,bank_transfer,0
C0106,,14,71.92,5,South,Standard,paypal,0
C0107,47,36,46.71,10,West,Basic,paypal,0
C0108,36,78,92.69,3,South,Premium,paypal,0
C0109,63,6,107.5,0,South,Premium,paypal,0
C0110,48,23,65.44,8,South,Standard,paypal,1
C0111,38,62,106.41,5,West,Premium,bank_transfer,0
C0112,,93,147.15,8,South,Enterprise,credit_card,1
C0113,51,48,102.2,10,South,Premium,credit_card,0
C0114,57,42,78.84,10,Midwest,Standard,paypal,0
C0115,24,5,112.89,1,West,Premium,credit_card,1
C0116,64,96,137.27,2,Midwest,Enterprise,paypal,0
C0117,39,5,92.65,7,East,Premium,bank_transfer,1
C0118,63,46,42.35,3,West,Basic,bank_transfer,0
C0119,60,3,52.46,3,East,Basic,paypal,0
C0120,,76,83.14,3,South,Standard,credit_card,0
C0121,31,17,107.76,1,West,Premium,credit_card,0
C0122,59,42,36.53,0,East,Basic,paypal,0
C0123,52,58,100.34,1,Midwest,Premium,paypal,0
C0124,64,67,98.91,0,West,Premium,bank_transfer,0
C0125,67,57,55.38,5,East,Basic,credit_card,0
C0126,57,92,96.9,9,South,Premium,bank_transfer,1
C0127,66,15,73.18,3,Midwest,Standard,bank_transfer,0
C0128,42,55,104.29,5,East,Premium,paypal,1
C0129,27,56,51.36,5,East,Basic,paypal,0
C0130,43,86,42.68,10,Midwest,Basic,paypal,0
C0131,44,14,66.02,7,East,Standard,credit_card,0
C0132,,74,82.99,8,West,Standard,paypal,0
C0133,41,44,87.16,2,Midwest,Premium,credit_card,0
C0134,27,96,71.78,7,South,Standard,credit_card,1
C0135,58,77,54.97,2,East,Basic,paypal,0
C0136,64,55,137.78,6,South,Enterprise,credit_card,1
C0137,40,87,135.7,4,West,Enterprise,credit_card,0
C0138,,39,81.95,4,South,Standard,bank_transfer,0
C0139,33,17,135.85,3,South,Enterprise,credit_card,0
C0140,23,59,54.41,9,Midwest,Basic,paypal,1
C0141,29,52,57.12,2,Midwest,Basic,paypal,0
C0142,37,56,135.62,6,South,Enterprise,paypal,0
C0143,26,66,45.8,3,South,Basic,bank_transfer,0
C0144,34,23,81.77,10,West,Standard,credit_card,1
C0145,59,58,109.47,10,South,Premium,credit_card,1
C0146,41,36,41.15,1,South,Basic,bank_transfer,0
C0147,40,10,47.99,8,Midwest,Basic,bank_transfer,1
C0148,24,58,70.36,7,East,Standard,credit_card,1
C0149,43,92,45.12,2,West,Basic,credit_card,0
C0150,61,21,96.69,4,Midwest,Premium,bank_transfer,0
C0151,62,83,88.71,1,Midwest,Premium,bank_transfer,0
C0152,60,20,89.12,10,East,Premium,bank_transfer,0
C0153,47,17,40.05,6,South,Basic,credit_card,1
C0154,54,47,41.43,2,East,Basic,bank_transfer,0
C0155,31,10,108.96,1,West,Premium,paypal,0
C0156,60,49,66.22,9,East,Standard,paypal,0
C0157,68,31,137.88,7,East,Enterprise,paypal,0
C0158,52,25,104.64,9,Midwest,Premium,bank_transfer,0
C0159,48,21,82.83,2,South,Standard,credit_card,0
C0160,28,92,39.41,2,South,Basic,bank_transfer,0
C0161,36,58,111.19,6,West,Premium,bank_transfer,1
C0162,27,48,62.73,1,South,Standard,credit_card,0
C0163,52,,81.73,7,Midwest,Standard,paypal,0
C0164,35,20,124.89,4,East,Enterprise,bank_transfer,0
C0165,61,59,34.88,7,West,Basic,paypal,1
C0166,40,55,47.99,3,Midwest,Basic,credit_card,0
C0167,55,70,42.15,7,West,Basic,paypal,0
C0168,23,46,40.96,10,West,Basic,paypal,1
C0169,43,83,83.59,10,Midwest,Standard,paypal,0
C0170,26,92,122.96,3,West,Enterprise,credit_card,0
C0171,47,70,128.59,10,East,Enterprise,bank_transfer,0
C0172,63,43,90.24,5,Midwest,Premium,bank_transfer,1
C0173,33,64,131.55,8,South,Enterprise,credit_card,1
C0174,33,70,95.35,1,South,Premium,paypal,0
C0175,49,22,131.14,0,South,Enterprise,paypal,0
C0176,25,10,131.45,10,East,Enterprise,credit_card,1
C0177,50,5,63.75,10,South,Standard,bank_transfer,1
C0178,31,87,146.67,5,Midwest,Enterprise,credit_card,1
C0179,42,84,93.49,1,West,Premium,paypal,0
C0180,57,16,107.15,7,East,Premium,paypal,0
C0181,34,16,84.17,7,East,Standard,paypal,0
C0182,42,86,105.45,8,South,Premium,bank_transfer,0
C0183,62,,100.23,1,East,Premium,credit_card,0
C0184,57,74,99.15,8,East,Premium,paypal,0
C0185,67,93,135.67,6,West,Enterprise,credit_card,1
C0186,65,67,90.34,8,East,Premium,credit_card,1
C0187,29,67,69.91,2,South,Standard,paypal,0
C0188,40,11,92.1,8,South,Premium,credit_card,1
C0189,63,,66.45,9,South,Standard,paypal,0
C0190,24,83,103.93,9,Midwest,Premium,paypal,0
C0191,40,83,99.56,10,Midwest,Premium,bank_transfer,1
C0192,50,54,134.08,5,East,Enterprise,bank_transfer,0
C0193,47,17,100.39,1,South,Premium,credit_card,0
C0194,31,13,39.55,6,Midwest,Basic,credit_card,0
C0195,68,41,81.84,7,Midwest,Standard,bank_transfer,0
C0196,47,65,147.13,3,South,Enterprise,credit_card,0
C0197,63,87,129.43,0,West,Enterprise,bank_transfer,0
C0198,47,47,42.42,9,East,Basic,bank_transfer,1
C0199,50,71,108.46,9,West,Premium,credit_card,0
C0200,43,72,106.63,3,Midwest,Premium,paypal,0
C0201,43,61,125.87,8,East,Enterprise,bank_transfer,1
C0202,61,95,102.44,8,Midwest,Premium,paypal,1
C0203,45,43,57.48,9,South,Basic,paypal,0
C0204,63,75,80.76,9,Midwest,Standard,credit_card,1
C0205,46,19,62.82,1,East,Standard,credit_card,0
C0206,66,27,135.05,9,Midwest,Enterprise,paypal,0
C0207,57,42,135.66,5,East,Enterprise,bank_transfer,1
C0208,68,88,102.86,3,East,Premium,bank_transfer,0
C0209,41,37,79.95,7,South,Standard,bank_transfer,0
C0210,68,36,90.17,10,Midwest,Premium,bank_transfer,0
C0211,40,6,111.84,1,South,Premium,bank_transfer,0
C0212,56,35,90.57,9,East,Premium,credit_card,0
C0213,,30,34.61,5,Midwest,Basic,credit_card,0
C0214,32,53,134.41,3,South,Enterprise,bank_transfer,0
C0215,27,84,75.91,0,East,Standard,bank_transfer,0
C0216,47,64,86.35,4,West,Standard,credit_card,0
C0217,43,37,147.72,8,Midwest,Enterprise,credit_card,1
C0218,,43,81.01,10,South,Standard,paypal,0
C0219,40,73,66.56,10,Midwest,Standard,bank_transfer,1
C0220,28,24,74.41,3,West,Standard,bank_transfer,0
C0221,43,39,38.8,5,East,Basic,credit_card,0
C0222,65,65,104.95,10,South,Premium,bank_transfer,1
C0223,52,20,141.44,9,South,Enterprise,bank_transfer,1
C0224,64,28,79.69,9,West,Standard,paypal,0
C0225,58,15,53.55,8,East,Basic,paypal,1
C0226,55,57,49.69,9,Midwest,Basic,credit_card,1
C0227,30,66,133.88,0,Midwest,Enterprise,paypal,0
C0228,22,96,77.04,0,Midwest,Standard,bank_transfer,0
C0229,26,61,39.46,2,East,Basic,paypal,0
C0230,50,49,124.09,10,East,Enterprise,paypal,0
C0231,47,68,80.92,3,West,Standard,credit_card,0
C0232,49,69,143.41,3,Midwest,Enterprise,bank_transfer,0
C0233,68,15,53.05,6,West,Basic,credit_card,0
C0234,50,77,38.36,0,Midwest,Basic,bank_transfer,0
C0235,25,18,93.09,9,South,Premium,paypal,1
C0236,37,39,87.63,8,East,Standard,bank_transfer,0
C0237,59,95,78.28,6,Midwest,Standard,credit_card,0
C0238,55,41,132.61,4,Midwest,Enterprise,credit_card,0
C0239,41,91,82.95,0,Midwest,Standard,bank_transfer,0
C0240,38,27,103.81,7,South,Premium,credit_card,1
C0241,39,49,54.71,3,East,Basic,bank_transfer,0
C0242,22,28,87.01,1,Midwest,Standard,credit_card,1
C0243,37,71,107.16,6,Midwest,Premium,paypal,0
C0244,53,60,52.87,7,South,Basic,credit_card,0
C0245,36,95,62.42,8,Midwest,Standard,bank_transfer,0
C0246,58,32,136.32,10,South,Enterprise,bank_transfer,1
C0247,53,59,81.05,5,East,Standard,credit_card,1
C0248,56,83,45.62,1,West,Basic,credit_card,0
C0249,26,91,62.24,8,Midwest,Standard,bank_transfer,0
C0250,61,62,122.41,8,Midwest,Enterprise,credit_card,0
C0251,40,3,142.96,2,West,Enterprise,credit_card,1
C0252,55,33,93.95,6,West,Premium,bank_transfer,1
C0253,66,29,104.79,1,West,Premium,credit_card,0
C0254,25,82,50.27,1,Midwest,Basic,bank_transfer,0
C0255,28,68,37.97,9,Midwest,Basic,bank_transfer,0
C0256,39,70,36.66,5,West,Basic,credit_card,1
C0257,47,10,91.22,3,Midwest,Premium,paypal,1
C0258,30,89,45.02,5,West,Basic,credit_card,1
C0259,60,79,147.19,5,West,Enterprise,paypal,0
C0260,36,46,133.23,10,Midwest,Enterprise,credit_card,1
C0261,26,11,91.01,10,East,Premium,paypal,1
C0262,22,40,131.36,4,West,Enterprise,credit_card,0
C0263,57,66,124.69,1,South,Enterprise,paypal,0
C0264,46,2,97.76,1,East,Premium,paypal,1
C0265,30,35,93.98,2,West,Premium,credit_card,0
C0266,26,47,111.55,10,Midwest,Premium,paypal,1
C0267,41,1,130.64,9,Midwest,Enterprise,bank_transfer,1
C0268,63,77,69.81,9,East,Standard,bank_transfer,0
C0269,42,38,147.16,3,South,Enterprise,bank_transfer,0
C0270,,73,77.4,8,East,Standard,paypal,1
C0271,67,27,142.74,1,Midwest,Enterprise,paypal,0
C0272,38,85,80.6,6,West,Standard,bank_transfer,1
C0273,54,89,136.13,5,West,Enterprise,credit_card,0
C0274,63,79,46.64,10,Midwest,Basic,bank_transfer,0
C0275,36,66,73.59,6,Midwest,Standard,paypal,1
C0276,23,62,39.68,1,West,Basic,paypal,0
C0277,35,67,131.06,1,Midwest,Enterprise,paypal,0
C0278,67,15,54.08,10,West,Basic,paypal,0
C0279,55,23,70.61,6,Midwest,Standard,credit_card,1
C0280,64,,122.76,9,East,Enterprise,bank_transfer,1
C0281,35,27,106.56,1,West,Premium,paypal,0
C0282,29,34,135.72,10,South,Enterprise,paypal,1
C0283,44,46,138.05,10,South,Enterprise,paypal,1
C0284,29,31,90.04,5,East,Premium,paypal,1
C0285,46,55,74.65,8,East,Standard,paypal,0
C0286,42,58,54.5,0,Midwest,Basic,credit_card,0
C0287,54,84,132.64,7,Midwest,Enterprise,paypal,1
C0288,23,29,87.85,3,South,Premium,credit_card,1
C0289,53,71,46.89,4,South,Basic,paypal,0
C0290,35,55,51.14,10,East,Basic,bank_transfer,0
C0291,27,57,52.17,3,East,Basic,paypal,0
C0292,61,81,126.32,2,East,Enterprise,credit_card,0
C0293,60,69,70.41,4,South,Standard,paypal,0
C0294,65,13,87.03,6,West,Standard,bank_transfer,0
C0295,31,92,108.54,10,Midwest,Premium,bank_transfer,0
C0296,48,49,123.96,1,Midwest,Enterprise,paypal,0
C0297,51,63,102.13,1,Midwest,Premium,paypal,0
C0298,47,28,143.45,7,South,Enterprise,bank_transfer,0
C0299,,63,110.25,0,West,Premium,credit_card,0
C0300,32,57,122.02,6,East,Enterprise,paypal,0
C0301,39,12,93.51,5,East,Premium,credit_card,1
C0302,36,55,50.3,0,East,Basic,bank_transfer,0
C0303,65,57,32.21,5,West,Basic,bank_transfer,0
C0304,27,94,34.68,5,South,Basic,credit_card,1
C0305,30,83,63.78,9,West,Standard,paypal,0
C0306,62,96,85.92,9,Midwest,Standard,credit_card,0
C0307,29,76,131.14,6,South,Enterprise,credit_card,1
C0308,57,77,107.25,0,South,Premium,credit_card,0
C0309,47,38,52.38,3,Midwest,Basic,bank_transfer,0
C0310,26,68,57.66,5,East,Basic,bank_transfer,1
C0311,33,61,32.43,1,West,Basic,bank_transfer,0
C0312,47,65,103.34,8,Midwest,Premium,bank_transfer,1
C0313,61,20,89.17,1,East,Premium,credit_card,0
C0314,63,88,40.06,6,East,Basic,credit_card,0
C0315,51,79,40.04,10,East,Basic,credit_card,0
C0316,32,64,100.6,4,East,Premium,bank_transfer,0
C0317,68,16,40.71,6,South,Basic,paypal,0
C0318,62,10,133.84,5,West,Enterprise,bank_transfer,1
C0319,28,74,37.94,8,West,Basic,credit_card,0
C0320,46,20,86.21,0,Midwest,Standard,credit_card,0
C0321,42,35,46.86,1,West,Basic,credit_card,0
C0322,47,9,144.52,4,South,Enterprise,credit_card,1
C0323,40,73,106.23,3,Midwest,Premium,bank_transfer,0
C0324,34,94,65.91,6,West,Standard,credit_card,1
C0325,22,43,51.73,6,South,Basic,credit_card,1
C0326,53,8,80.5,1,West,Standard,credit_card,1
C0327,51,96,47.1,8,East,Basic,paypal,0
C0328,49,85,68.16,4,South,Standard,bank_transfer,0
C0329,26,26,82.28,9,West,Standard,credit_card,0
C0330,48,16,112.08,3,Midwest,Premium,bank_transfer,0
C0331,32,88,108.49,9,West,Premium,credit_card,1
C0332,44,51,49.61,4,East,Basic,credit_card,0
C0333,57,32,44.01,2,West,Basic,credit_card,0
C0334,30,26,131.68,10,West,Enterprise,paypal,1
C0335,23,9,85.46,7,East,Standard,credit_card,1
C0336,25,22,143.36,6,Midwest,Enterprise,credit_card,1
C0337,35,24,94.28,2,West,Premium,paypal,0
C0338,53,53,123.59,4,Midwest,Enterprise,credit_card,0
C0339,55,32,57.72,5,Midwest,Basic,paypal,0
C0340,42,50,91.68,5,East,Premium,credit_card,1
C0341,55,46,87.32,1,East,Standard,paypal,0
C0342,25,29,131.22,2,East,Enterprise,credit_card,1
C0343,44,76,50.29,5,East,Basic,paypal,0
C0344,53,,91.56,0,West,Premium,credit_card,0
C0345,52,1,110.87,3,East,Premium,bank_transfer,0
C0346,42,8,35.84,2,West,Basic,paypal,0
C0347,64,51,40.75,5,East,Basic,credit_card,1
C0348,63,41,80.39,8,South,Standard,credit_card,1
C0349,68,89,90.31,0,Midwest,Premium,paypal,0
C0350,61,29,56.35,2,South,Basic,paypal,0
C0351,32,82,53.36,10,South,Basic,bank_transfer,0
C0352,26,45,107.46,0,West,Premium,bank_transfer,0
C0353,48,64,131.13,6,West,Enterprise,bank_transfer,1
C0354,32,58,52.78,0,South,Basic,credit_card,0
C0355,43,22,126.18,1,West,Enterprise,bank_transfer,0
C0356,67,4,146.5,2,Midwest,Enterprise,credit_card,0
C0357,34,53,104.18,4,East,Premium,credit_card,0
C0358,53,20,41.38,6,West,Basic,bank_transfer,1
C0359,35,22,112.4,7,West,Premium,bank_transfer,1
C0360,38,12,126.81,6,South,Enterprise,credit_card,1
C0361,38,29,101.67,2,West,Premium,credit_card,0
C0362,59,30,53.86,8,Midwest,Basic,paypal,0
C0363,41,11,145.47,0,East,Enterprise,credit_card,1
C0364,35,25,63.11,1,Midwest,Standard,credit_card,0
C0365,68,9,42.09,6,South,Basic,bank_transfer,1
C0366,66,80,124.93,2,East,Enterprise,paypal,0
C0367,28,14,52.43,8,South,Basic,bank_transfer,1
C0368,60,61,36.48,6,East,Basic,paypal,1
C0369,47,43,63.28,7,South,Standard,bank_transfer,0
C0370,41,36,144.31,10,West,Enterprise,credit_card,0
C0371,42,35,137.73,1,East,Enterprise,bank_transfer,0
C0372,53,67,108.35,8,East,Premium,credit_card,1
C0373,55,73,36.52,3,West,Basic,credit_card,0
C0374,67,26,96.58,7,Midwest,Premium,paypal,0
C0375,53,77,126.62,7,South,Enterprise,bank_transfer,0
C0376,66,12,87.71,0,East,Premium,paypal,0
C0377,65,27,103.94,8,West,Premium,paypal,0
C0378,33,77,37.82,9,South,Basic,paypal,0
C0379,,59,92.67,4,Midwest,Premium,paypal,0
C0380,45,72,94.76,1,Midwest,Premium,credit_card,0
C0381,39,34,91.9,8,East,Premium,credit_card,1
C0382,30,93,49.04,4,South,Basic,bank_transfer,0
C0383,67,74,70.92,3,Midwest,Standard,paypal,0
C0384,64,72,69.64,7,East,Standard,paypal,0
C0385,33,88,104.02,3,South,Premium,credit_card,0
C0386,45,34,99.06,1,Midwest,Premium,credit_card,0
C0387,52,25,54.55,6,South,Basic,bank_transfer,0
C0388,34,44,147.67,7,East,Enterprise,bank_transfer,0
C0389,62,23,103.5,0,Midwest,Premium,bank_transfer,0
C0390,32,63,35.36,6,Midwest,Basic,bank_transfer,0
C0391,,,81.0,0,South,Standard,paypal,0
C0392,68,32,80.03,5,South,Standard,credit_card,0
C0393,32,9,39.75,4,Midwest,Basic,paypal,1
C0394,65,18,112.9,7,South,Premium,credit_card,0
C0395,47,3,67.83,2,East,Standard,paypal,0
C0396,45,92,41.76,10,South,Basic,paypal,1
C0397,64,14,33.25,1,Midwest,Basic,bank_transfer,0
C0398,66,20,80.07,10,West,Standard,bank_transfer,0
C0399,39,80,72.89,1,West,Standard,bank_transfer,0
C0400,60,26,108.62,3,South,Premium,paypal,0
C0401,53,27,130.6,0,West,Enterprise,paypal,0
C0402,64,64,86.69,8,West,Standard,paypal,0
C0403,51,38,99.07,1,East,Premium,credit_card,0
C0404,49,95,34.47,0,West,Basic,credit_card,0
C0405,61,35,41.69,5,East,Basic,credit_card,1
C0406,46,89,142.8,10,East,Enterprise,credit_card,0
C0407,32,14,145.69,7,Midwest,Enterprise,credit_card,1
C0408,23,88,74.56,7,West,Standard,bank_transfer,1
C0409,42,2,87.43,10,South,Standard,paypal,1
C0410,49,85,74.53,10,Midwest,Standard,credit_card,1
C0411,22,83,75.14,7,Midwest,Standard,credit_card,0
C0412,43,36,45.18,8,Midwest,Basic,bank_transfer,0
C0413,58,,54.27,7,South,Basic,credit_card,1
C0414,47,53,46.49,0,West,Basic,paypal,0
C0415,57,27,146.71,5,West,Enterprise,credit_card,1
C0416,,61,105.61,1,West,Premium,paypal,0
C0417,62,38,105.25,0,East,Premium,bank_transfer,0
C0418,48,14,102.88,3,West,Premium,bank_transfer,0
C0419,67,44,51.69,0,West,Basic,bank_transfer,0
C0420,30,64,45.79,0,Midwest,Basic,paypal,0
C0421,33,89,80.99,2,West,Standard,bank_transfer,0
C0422,46,54,69.11,5,South,Standard,bank_transfer,0
C0423,54,39,105.51,8,East,Premium,credit_card,0
C0424,44,87,87.51,10,East,Standard,paypal,1
C0425,29,46,137.15,10,Midwest,Enterprise,paypal,1
C0426,22,67,32.66,2,West,Basic,paypal,0
C0427,32,37,90.81,0,South,Premium,credit_card,0
C0428,28,79,81.3,8,Midwest,Standard,credit_card,1
C0429,40,89,56.09,6,Midwest,Basic,paypal,0
C0430,38,26,143.58,10,South,Enterprise,paypal,1
C0431,68,25,98.67,10,West,Premium,credit_card,0
C0432,,55,101.47,2,East,Premium,paypal,0
C0433,31,6,86.14,9,West,Standard,paypal,1
C0434,58,71,88.89,5,East,Premium,credit_card,1
C0435,48,70,124.39,3,East,Enterprise,paypal,0
C0436,61,68,147.91,10,West,Enterprise,credit_card,1
C0437,61,80,86.93,10,South,Standard,bank_transfer,0
C0438,40,4,100.37,8,Midwest,Premium,bank_transfer,1
C0439,42,66,56.65,2,West,Basic,paypal,0
C0440,35,88,143.73,3,Midwest,Enterprise,paypal,0
C0441,51,92,87.99,1,West,Premium,credit_card,0
C0442,,34,132.09,10,Midwest,Enterprise,bank_transfer,0
C0443,56,1,51.65,9,West,Basic,paypal,0
C0444,40,88,102.77,4,Midwest,Premium,bank_transfer,0
C0445,32,69,65.55,6,South,Standard,paypal,0
C0446,,83,111.89,0,East,Premium,credit_card,0
C0447,56,71,39.92,5,East,Basic,bank_transfer,1
C0448,61,33,64.98,10,West,Standard,paypal,0
C0449,64,9,89.55,9,Midwest,Premium,bank_transfer,1
C0450,28,37,55.4,5,Midwest,Basic,bank_transfer,1
C0451,59,20,108.0,6,East,Premium,credit_card,1
C0452,63,56,108.84,2,South,Premium,bank_transfer,0
C0453,53,71,36.57,9,West,Basic,bank_transfer,0
C0454,68,81,50.91,0,West,Basic,paypal,0
C0455,24,71,101.13,8,Midwest,Premium,paypal,1
C0456,59,94,90.48,8,West,Premium,bank_transfer,0
C0457,61,88,81.69,2,Midwest,Standard,credit_card,0
C0458,31,95,146.42,0,East,Enterprise,bank_transfer,0
C0459,24,86,75.47,5,Midwest,Standard,bank_transfer,1
C0460,63,42,50.3,8,South,Basic,paypal,0
C0461,46,84,131.5,10,West,Enterprise,paypal,0
C0462,,52,108.25,5,Midwest,Premium,bank_transfer,1
C0463,50,22,64.0,10,South,Standard,credit_card,0
C0464,67,16,72.78,5,West,Standard,bank_transfer,0
C0465,63,53,38.34,2,East,Basic,credit_card,0
C0466,25,22,110.98,8,Midwest,Premium,paypal,1
C0467,68,85,111.63,3,Midwest,Premium,paypal,0
C0468,48,77,82.66,2,South,Standard,credit_card,0
C0469,26,30,132.02,1,West,Enterprise,credit_card,1
C0470,48,20,36.61,9,West,Basic,paypal,1
C0471,64,17,55.32,10,Midwest,Basic,paypal,0
C0472,55,55,86.4,7,Midwest,Standard,bank_transfer,1
C0473,66,74,43.06,4,Midwest,Basic,credit_card,0
C0474,48,33,62.14,0,West,Standard,paypal,0
C0475,42,53,89.77,6,South,Premium,bank_transfer,1
C0476,39,88,141.63,6,Midwest,Enterprise,credit_card,1
C0477,41,74,107.13,6,East,Premium,paypal,0
C0478,66,21,37.58,6,South,Basic,paypal,1
C0479,32,50,52.91,2,Midwest,Basic,paypal,0
C0480,45,11,50.84,6,South,Basic,paypal,1
C0481,33,82,133.41,3,South,Enterprise,credit_card,0
C0482,66,30,79.52,5,East,Standard,paypal,0
C0483,39,52,104.41,6,East,Premium,paypal,0
C0484,27,71,105.88,8,South,Premium,bank_transfer,1
C0485,51,52,38.79,6,West,Basic,paypal,0
C0486,29,66,109.78,9,South,Premium,paypal,1
C0487,37,44,139.72,9,West,Enterprise,bank_transfer,0
C0488,,87,82.8,6,South,Standard,paypal,1
C0489,37,37,42.37,5,West,Basic,paypal,0
